from,to,status
Hitzlsperger,VorstandVfB,Vorsitzender
Keller,VorstandVfB,Mitglied
Schraft,VorstandVfB,Mitglied
Vogt,AufsichtsratVfB,Vorsitzender
Vogt,PräsidiumVfB,Präsident
Porth,AufsichtsratVfB,stellv. Vorsitzender
Adrion,AufsichtsratVfB,Mitglied
Adrion,PräsidiumVfB,Mitglied
Jenner,AufsichtsratVfB,stellv. Vorsitzender
Reiner,AufsichtsratVfB,Mitglied
Sugg,AufsichtsratVfB,Mitglied
Weninger,VereinsbeiratVfB,Vorsitzender
Bühler,VereinsbeiratVfB,stellv. Vorsitzender
Mörk,VereinsbeiratVfB,Mitglied
Seeger,VereinsbeiratVfB,Mitglied
Erhard,VereinsbeiratVfB,Mitglied
Schlecht,VereinsbeiratVfB,Mitglied
Hitzlsperger,Störungsmelder,Engagement
Hitzlsperger,UBUNTU,Engagement
Hitzlsperger,DFB,Botschafter für Vielfalt
Schraft,KommissionCM,Mitglied
Vogt,Intesia,Gründer
Vogt,FCPlayFair,Gründer
Porth,Daimler,Vorstandsmitglied
Porth,Daimler,Arbeitsdirektor
Porth,Daimler,Verantwortlicher für Einkauf von Nichtproduktionsmaterial und Dienstleistungen
Porth,Südwestmetall,Vorsitzender
Jenner,Kärcher,Vorsitzender der Geschäftsführung
Jenner,KärcherStiftung,Vorstand
Adrion,11hilft,Engagement
Reiner,Daimler,Vorstandsvorsitzender Daimler Mobility AG
Sugg,CourageGerlingen,Gründer
Sugg,Bosch,Projektleiter
