id,name,type ,age,funktion ,representation,position
VorstandVfB,Vorstand der VfB Stuttgart 1893 AG,1,NA,V,NA,NA
Hitzlsperger,Thomas Hitzlsperger,0,38,V,"Sport, Unternehmensstrategie und Kommunikation",Vorstand Vorsitzender 
Keller,Tobias Keller,0,NA,V,Finanzen und Verwaltung,Vorstand Interimsvorstand
Schraft,Oliver Schraft,0,53,V,Kommunikation des Vereins und der Tochterunternehmen,Vorstand Mitglied der Geschäftsleitung
AufsichtsratVfB,Aufsichtsrat der VfB Stuttgart 1893 AG,1,NA,AR,NA,NA
Vogt,Claus Vogt,0,51,"AR, PR",Präsidiumspräsident,Aufsichtsrat Vorsitzender
Porth,Wilfried Porth,0,62,AR,NA,Aufsichtsrat stellvertrender Vorsitzender
Adrion,Rainer Adrion,0,67,"AR, PR",Präsidiumsmitglied,Aufsichtsrat Mitglied
Jenner,Hartmut Jenner,0,55,AR,NA,Aufsichtsrat stellvertrender Vorsitzender
Reiner,Franz Reiner,0,53,AR,NA,Aufsichtsrat Mitglied
Sugg,Dr. Bertram Sugg,0,55,AR,NA,Aufsichtsrat Mitglied
PräsidiumVfB,Präsidium des VfB Stuttgart 1893 e.V.,1,NA,PR,NA,NA
VereinsbeiratVfB,Vereinsbeirat des VfB Stuttgart 1893 e.V.,1,NA,VB,NA,NA
Weninger,Rainer Weninger,0,55,VB,Mitglieder und Fans,Vereinsbeirat Vorsitzender
Bühler,Prof. Dr. André Bühler,0,45,VB,Wirtschaft und Gesellschaft,Vereinsbeirat stellvertretender Vorsitzender
Mörk,Prof. Dr. Hubert Mörk,0,60,VB,Wirtschaft und Gesellschaft,Vereinsbeirat Mitglied
Seeger,Prof. Christof Seeger,0,47,VB,Wirtschaft und Gesellschaft,Vereinsbeirat Mitglied
Erhard,Dr. Wolf-Dietrich Erhard,0,66,VB,Sport und Verein,Vereinsbeirat Mitglied
Schlecht,Dr. Marc Nicolai Schlecht,0,46,VB,Sport und Verein,Vereinsbeirat Mitglied
Störungsmelder,Webportal Störungsmelder gegen Fremdenhass,1,NA,NA,NA,NA
UBUNTU,Projekt UBUNTU für HIV-positive Kinder in Südafrika,1,NA,NA,NA,NA
DFB,Deutscher Fußball Bund,1,NA,NA,NA,NA
KommissionCM,„Kommission Clubmedien“ der Deutschen Fußball Liga,1,NA,NA,NA,NA
Intesia,Intesia Group Holding GmbH,1,NA,NA,NA,NA
FCPlayFair,FC PlayFair! Verein für Integrität im Profifußball e.V.,1,NA,NA,NA,NA
Daimler,Daimler AG mit Tochterunternehmen,1,NA,NA,NA,NA
Südwestmetall,Südwestmetall Arbeitgeberverband der Metall- und Elektroindustrie,1,NA,NA,NA,NA
Kärcher,Alfred Kärcher SE & Co. KG,1,NA,NA,NA,NA
KärcherStiftung,Alfred-Kärcher-Förderstiftung,1,NA,NA,NA,NA
11hilft,11hilft e.V. Verein zur Unterstützung sozialer Projekte,1,NA,NA,NA,NA
CourageGerlingen,VfB Fanclub Courage Gerlingen,1,NA,NA,NA,NA
Bosch,Robert Bosch GmbH,1,NA,NA,NA,NA
